 itr,            f,   df_abs[%],   df_rel[%],        c1: =,       c1_ref,      len_C1,  adj_len_C1,        c2: =,       c2_ref,      len_C2,  adj_len_C2,        c3: =,       c3_ref,      len_C3,  adj_len_C3,     bi_itrs,      bi_err, test_norm_dX_bar,     norm_dX, step_length,               time_stamp
   1,  6.06656E-01,  0.00000E+00,  0.00000E+00,  8.82659E-02,  8.82659E-02,    0.000000,    0.000000,  9.99971E-01,  9.99971E-01,    0.000000,    0.000000,  2.03955E+00,  2.03955E+00,    0.000000,    0.000000,           7,    0.005894,         0.015240,    0.005029, 5.00000E-03, Mon Jul  1 13:47:43 2024
   2,  7.04427E-01,  1.61165E+01,  1.61165E+01,  8.83290E-02,  8.82659E-02,    0.006447,    0.006447,  9.99495E-01,  9.99971E-01,   -0.048631,   -0.048631,  2.03958E+00,  2.03955E+00,    0.001905,    0.001905,           5,    0.008767,         0.124068,    0.005044, 5.00000E-03, Mon Jul  1 13:47:53 2024
   3,  7.86816E-01,  2.96973E+01,  1.35807E+01,  8.83204E-02,  8.82659E-02,    0.005578,    0.005578,  9.99691E-01,  9.99971E-01,   -0.028672,   -0.028672,  2.04128E+00,  2.03955E+00,    0.088086,    0.088086,           6,    0.002803,         0.309622,    0.005014, 5.00000E-03, Mon Jul  1 13:47:58 2024
   4,  8.51623E-01,  4.03801E+01,  1.06828E+01,  8.83148E-02,  8.82659E-02,    0.006254,    0.006254,  9.99873E-01,  9.99971E-01,   -0.012621,   -0.012621,  2.04295E+00,  2.03955E+00,    0.215535,    0.215535,           5,    0.008769,         0.629539,    0.004035, 4.00000E-03, Mon Jul  1 13:48:07 2024
   5,  8.84837E-01,  4.58548E+01,  5.47478E+00,  8.83033E-02,  8.82659E-02,    0.005984,    0.005984,  1.00007E+00,  9.99971E-01,    0.016126,    0.016126,  2.04401E+00,  2.03955E+00,    0.352453,    0.352453,           0,   -0.037241,         0.944390,    0.003081, 3.20000E-03, Mon Jul  1 13:48:13 2024
   6,  8.95140E-01,  4.75532E+01,  1.69840E+00,  8.82931E-02,  8.82659E-02,    0.005423,    0.005423,  1.00019E+00,  9.99971E-01,    0.042877,    0.042877,  2.04429E+00,  2.03955E+00,    0.467079,    0.396094,           6,    0.002186,         1.196685,    0.002554, 2.56000E-03, Mon Jul  1 13:48:18 2024
   7,  8.75384E-01,  4.42967E+01, -3.25652E+00,  8.82712E-02,  8.82659E-02,    0.001333,    0.001333,  1.00024E+00,  9.99971E-01,    0.066042,    0.066042,  2.04364E+00,  2.03955E+00,    0.504460,    0.421484,           7,    0.001221,         1.229207,    0.002045, 2.04800E-03, Mon Jul  1 13:48:23 2024
   8,  8.60385E-01,  4.18244E+01, -2.47236E+00,  8.82692E-02,  8.82659E-02,    0.000839,    0.000839,  1.00018E+00,  9.99971E-01,    0.052869,    0.052869,  2.04299E+00,  2.03955E+00,    0.423447,    0.423447,           0,   -0.013298,         1.030900,    0.002021, 2.04800E-03, Mon Jul  1 13:48:28 2024
   9,  8.49505E-01,  4.00309E+01, -1.79347E+00,  8.82705E-02,  8.82659E-02,    0.001142,    0.001142,  1.00018E+00,  9.99971E-01,    0.051535,    0.051535,  2.04254E+00,  2.03955E+00,    0.367857,    0.367857,           0,    0.007396,         0.876063,    0.002033, 2.04800E-03, Mon Jul  1 13:48:33 2024
  10,  8.58880E-01,  4.15763E+01,  1.54539E+00,  8.82774E-02,  8.82659E-02,    0.002873,    0.002873,  1.00009E+00,  9.99971E-01,    0.029756,    0.029756,  2.04246E+00,  2.03955E+00,    0.358642,    0.358642,           0,   -0.025934,         0.910083,    0.001995, 2.04800E-03, Mon Jul  1 13:48:38 2024
  11,  8.66649E-01,  4.28569E+01,  1.28057E+00,  8.82766E-02,  8.82659E-02,    0.003337,    0.003337,  1.00010E+00,  9.99971E-01,    0.040430,    0.040430,  2.04255E+00,  2.03955E+00,    0.460736,    0.401172,           7,    0.002318,         1.166617,    0.001642, 1.63840E-03, Mon Jul  1 13:48:43 2024
  12,  8.54806E-01,  4.09046E+01, -1.95223E+00,  8.82674E-02,  8.82659E-02,    0.000600,    0.000600,  1.00014E+00,  9.99971E-01,    0.065871,    0.065871,  2.04220E+00,  2.03955E+00,    0.508677,    0.426563,           5,    0.000716,         1.225980,    0.001312, 1.31072E-03, Mon Jul  1 13:48:49 2024
