 itr,            f,   df_abs[%],   df_rel[%],        c1: =,       c1_ref,      len_C1,  adj_len_C1,        c2: =,       c2_ref,      len_C2,  adj_len_C2,        c3: =,       c3_ref,      len_C3,  adj_len_C3,     bi_itrs,      bi_err, test_norm_dX_bar,     norm_dX, step_length,               time_stamp
   1,  8.11741E-01,  0.00000E+00,  0.00000E+00,  8.82659E-02,  8.82659E-02,    0.000000,    0.000000,  9.99971E-01,  9.99971E-01,    0.000000,    0.000000,  2.03955E+00,  2.03955E+00,    0.000000,    0.000000,           5,    0.009731,         0.013841,    0.004951, 5.00000E-03, Thu Jun  6 12:51:05 2024
   2,  9.28198E-01,  1.43465E+01,  1.43465E+01,  8.85208E-02,  8.82659E-02,    0.026165,    0.026165,  9.99628E-01,  9.99971E-01,   -0.035217,   -0.035217,  2.03967E+00,  2.03955E+00,    0.006202,    0.006202,           2,    0.005080,         0.109942,    0.004975, 5.00000E-03, Thu Jun  6 12:52:38 2024
   3,  1.02959E+00,  2.68374E+01,  1.24910E+01,  8.84804E-02,  8.82659E-02,    0.022163,    0.022163,  9.99747E-01,  9.99971E-01,   -0.023142,   -0.023142,  2.04098E+00,  2.03955E+00,    0.073891,    0.073891,           4,    0.008293,         0.254494,    0.005041, 5.00000E-03, Thu Jun  6 12:54:51 2024
   4,  1.11696E+00,  3.76007E+01,  1.07633E+01,  8.84490E-02,  8.82659E-02,    0.019029,    0.019029,  9.99872E-01,  9.99971E-01,   -0.010348,   -0.010348,  2.04241E+00,  2.03955E+00,    0.147300,    0.147300,           6,    0.000810,         0.423739,    0.005004, 5.00000E-03, Thu Jun  6 12:58:29 2024
   5,  1.18774E+00,  4.63204E+01,  8.71972E+00,  8.84294E-02,  8.82659E-02,    0.017075,    0.017075,  9.99994E-01,  9.99971E-01,    0.002380,    0.002380,  2.04372E+00,  2.03955E+00,    0.215149,    0.215149,           4,    0.004757,         0.580822,    0.004976, 5.00000E-03, Thu Jun  6 13:00:41 2024
   6,  1.24398E+00,  5.32481E+01,  6.92768E+00,  8.84243E-02,  8.82659E-02,    0.016606,    0.016606,  1.00010E+00,  9.99971E-01,    0.013010,    0.013010,  2.04479E+00,  2.03955E+00,    0.271112,    0.271112,           5,    0.001568,         0.709954,    0.005008, 5.00000E-03, Thu Jun  6 13:02:25 2024
   7,  1.28931E+00,  5.88322E+01,  5.58412E+00,  8.84298E-02,  8.82659E-02,    0.017246,    0.017246,  1.00017E+00,  9.99971E-01,    0.021004,    0.021004,  2.04563E+00,  2.03955E+00,    0.315372,    0.315372,           5,    0.002100,         0.810966,    0.005010, 5.00000E-03, Thu Jun  6 13:03:33 2024
   8,  1.32533E+00,  6.32704E+01,  4.43819E+00,  8.84388E-02,  8.82659E-02,    0.018266,    0.018266,  1.00023E+00,  9.99971E-01,    0.027146,    0.027146,  2.04627E+00,  2.03955E+00,    0.348922,    0.348922,           3,    0.005747,         0.884865,    0.004971, 5.00000E-03, Thu Jun  6 13:04:48 2024
   9,  1.35333E+00,  6.67189E+01,  3.44847E+00,  8.84489E-02,  8.82659E-02,    0.019396,    0.019396,  1.00027E+00,  9.99971E-01,    0.031663,    0.031663,  2.04671E+00,  2.03955E+00,    0.372715,    0.372715,           5,    0.000262,         0.934283,    0.005001, 5.00000E-03, Thu Jun  6 13:06:46 2024
  10,  1.37687E+00,  6.96190E+01,  2.90008E+00,  8.84606E-02,  8.82659E-02,    0.020704,    0.020704,  1.00030E+00,  9.99971E-01,    0.034429,    0.034429,  2.04703E+00,  2.03955E+00,    0.390206,    0.390206,           5,    0.008803,         0.969939,    0.004956, 5.00000E-03, Thu Jun  6 13:09:32 2024
