X	Y	Z	Cp
9,50E-01	9,00E-01	-7,31E-03	1,50E-01
8,50E-01	9,00E-01	-1,82E-02	3,00E-02
7,50E-01	9,00E-01	-2,85E-02	-6,20E-02
6,50E-01	9,00E-01	-3,71E-02	-1,30E-01
5,50E-01	9,00E-01	-4,40E-02	-2,70E-01
4,50E-01	9,00E-01	-4,81E-02	-2,68E-01
3,50E-01	9,00E-01	-4,88E-02	-2,88E-01
2,50E-01	9,00E-01	-4,65E-02	-2,77E-01
1,51E-01	9,00E-01	-4,08E-02	-1,82E-01
1,00E-01	9,00E-01	-3,63E-02	-1,21E-01
6,55E-02	9,00E-01	-3,20E-02	-7,80E-02
4,03E-02	9,00E-01	-2,79E-02	-7,90E-02
2,03E-02	9,00E-01	-2,28E-02	-1,80E-02
5,87E-03	9,00E-01	-1,31E-02	5,62E-01
5,70E-04	9,00E-01	3,79E-03	7,26E-01
1,84E-03	9,00E-01	7,27E-03	-1,82E-01
6,26E-03	9,00E-01	1,36E-02	-1,81E-01
1,23E-02	9,00E-01	1,87E-02	-5,76E-01
2,01E-02	9,00E-01	2,27E-02	-9,85E-01
2,99E-02	9,00E-01	2,58E-02	-1,19E+00
4,97E-02	9,00E-01	2,97E-02	-1,19E+00
7,45E-02	9,00E-01	3,32E-02	-1,14E+00
9,99E-02	9,00E-01	3,62E-02	-1,09E+00
1,40E-01	9,00E-01	4,00E-02	-1,05E+00
1,80E-01	9,00E-01	4,29E-02	-1,00E+00
2,20E-01	9,00E-01	4,52E-02	-9,99E-01
2,60E-01	9,00E-01	4,68E-02	-9,81E-01
3,00E-01	9,00E-01	4,80E-02	-3,41E-01
3,40E-01	9,00E-01	4,87E-02	-1,95E-01
3,80E-01	9,00E-01	4,89E-02	-1,80E-01
4,20E-01	9,00E-01	4,87E-02	-2,08E-01
4,60E-01	9,00E-01	4,79E-02	-2,38E-01
5,00E-01	9,00E-01	4,65E-02	-2,20E-01
5,40E-01	9,00E-01	4,45E-02	-2,00E-01
5,80E-01	9,00E-01	4,21E-02	-1,62E-01
6,20E-01	9,00E-01	3,94E-02	-1,38E-01
6,60E-01	9,00E-01	3,64E-02	-1,07E-01
7,00E-01	9,00E-01	3,31E-02	-8,50E-02
7,39E-01	9,00E-01	2,95E-02	-5,70E-02
7,80E-01	9,00E-01	2,57E-02	-2,10E-02
8,19E-01	9,00E-01	2,16E-02	2,10E-02
8,60E-01	9,00E-01	1,71E-02	5,90E-02
8,99E-01	9,00E-01	1,25E-02	9,90E-02
9,47E-01	9,00E-01	7,55E-03	1,56E-01
9,85E-01	9,00E-01	2,66E-03	2,11E-01

